"COMPETITOR NAMES, as at 11:00AM on Thursday 17th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
66 (_),09:12,81,M A-C 8+,final,A,"Niklas Reisser, Valentin Frezouls, Steve Glen, Chas Todhunter, Simon Taylor, Simon Carey, Paul Middleditch, Paul Johnston, Hikaru Toyama"
67 (_),09:18,80,M G-M 4X-,final,A,"Tony Corkery, Mike Harrison, Chris Fotherby, John de Pont, Mark Swinburne, Kerry Dombroski, Robert Buddo, Kevin Horan, Richard Brock, Desmond Healy, Murray Stewart, Bruce Tate, Graham Watt, Tim Russell, Gordon Williams, Alan Cleaver"
68 (_),09:50,85,M Mst D 2X,heat,1,"Martin Sharrock, Steve Westlake, David Harris, David Speed, Paul Isitt, Scott Inglis, Stephen Porteners, Dave Derecourt, Mark Edgecombe, Richard Rennie, Josh Kempthorne, Steve Glen"
69 (_),09:56,85,M Mst D 2X,heat,2,"Shaun Stuart-Jones, Sylvain Livernois, Riaan van Greuning, Nathan Reeve, Kevin O'Hagan, Stewart Widger, Miles McBain, Gerry Steenkamer, Paul Johnston, Paul Middleditch, Chas Todhunter, Andreas Giannakogiorgos"
70 (_),10:02,87,W MNv 4+,final,A,"Amanda Taylor, Hayley Tamati, Lisa Somerset, Kimberley Jenkinson, Anna Taylor"
70 (_),10:02,88,W Mst E 2X,final,A,"Raima Turner-Abrahams, Vanessa Mace, Tina Gunn, Marleen Cleyndert, Melissa Bray, Jane Higgins, Rose Lampen-Smith, Inge Morton"
71 (_),10:08,89,M Mst F 1X,final,A,"Colin Wright, Dave Hanley, Kevin Horan, Kelvin Maker, Mulle Arndt, Peter Fraser, Jon Sadler"
72 (_),10:14,86,W MNw 2X,heat,1,"Lou Trent, Jacqueline Griffin, Naomi Carter, Tracey McMillan, Maryam Naminimianji, Terri-Ann Fetting, Emma Lowe, Raewynn White, Michelle Reaks, Danielle Davies, Rebecca Jones, Amanda Johnstone"
73 (_),10:20,86,W MNw 2X,heat,2,"Leona Walpert, Felicity Newport, Faith McGregor, Elly Arnst, Mandy Good, Karen Billinghurst, Trish Rice, Amandine Frezouls, Paula Pope, Jacinda Allwood, Sophia Bidwell, Kelly Lavalley"
74 (_),10:26,90,W Mst D 2-,final,A,"Lisa Hale, Debbie Rowe, Eleanor Chichester, Maria Chandler, Elizabeth Cossar, Lynda Jelbert, Benita Douglas, Alice Beban-France, Susan Sawbridge, Jo Mackay, Lorraine Anderson, Anthea van Greuning"
75 (_),10:32,91,W H-M 4X-,final,A,"Yvonne Kasper, Alison McLeod, Liz MacFarlan, Carolyn Harrison"
75 (_),10:32,92,M H-M 2X,final,A,"Chris Fotherby, John de Pont, Bruce Wills, Nick Hanna, Neville Robertson, Graham Watt"
76 (_),10:38,93,W Mst F 2X,final,A,"Aly Miehlbradt, Nikki Douglas, Sharon Bray, Trudy Moulden, Joanne Waller, Susan Reade, Vivienne Ivory, Liane McGee, Debbie Sunnex, Michelle de Jong, Louise O'Hagan, Helen Moore, Donna Southwick, Helen Garland"
78 (_),10:50,94,W Mst G 1X,final,A,"Raima Turner-Abrahams, Sharon Ducker"
79 (_),10:56,95,M Mst G 2X,final,A,"Menno van der Laan, John Hitchcock, Gerry Steenkamer, Alan Cleaver, Gordon Williams, Chris Brake, Desmond Healy, Bruce Tate"
80 (_),11:02,96,M Mst E 4X-,final,A,"David Harris, David Speed, Phillip Lee, Steve Barns, Kevin Sanderson, Richie McFelin, Martin Sharrock, Steve Westlake, Steve Glen, Simon Taylor, Paul Johnston, Paul Middleditch, Peter Fraser, Kelvin Maker, Ger Sheehan, Nathan Jones, Bradley Taylor, Mike Harrison, Andrew Webster, Mladen Macanovic, Hugh Ritchie, Wayne Bickers, Guy Aitchison, Thomas Taylor"
81 (_),11:08,97,Mx A-C 8+,final,A,"Sarah Brennan, Tim Russell, Chloe Readman-Bell, Josh Adam, Adam Howie, Hamish Peters, Jaedyn Thompson, Stacey Wyatt, Amy Robson, Stuart Fraser, Brian Wilson, Anna Loftus, Matt Bailey, Faith McGregor, Wade Vivian, Katy Amundsen Newton, Elly Arnst, Sue O'Leary"
83 (_),11:38,101,M Mst E 2X,final,A,"Chris Brake, Gordon Williams, Evan Brown, Attila Karpati, Derek Wanders, Myles Johnson, David Speed, Phillip Lee, Paul Isitt, Mulle Arndt, Kevin O'Hagan, Andrew Wakelin, Martin Sharrock, Steve Westlake, Jerome Feuillade, Richie McFelin, Shaun Stuart-Jones, Steve Barns"
84 (_),11:44,102,Mx A-C 2X,division,1,"Nicola Goss, Callum Windley, Jaedyn Thompson, Adam Howie, Josh Adam, Stacey Wyatt, Ashlea Quirk, Scott Alderson, Holly Gray, Hugo Verdonk"
85 (_),11:50,102,Mx A-C 2X,division,2,"Natasha Baldwin, Andrew Bealing, Sarah Brennan, Hamish Peters, Rachel Chellappa, Wing Kam, Luke Edhouse, Kristy Edhouse, Alex Hunter, Stewart Widger, Alice Beban-France, Miles McBain, Jason O'Callaghan, Jill Edwards"
86 (_),11:56,102,Mx A-C 2X,division,3,"Catriona Farac, Jasper Baur, Felicity Newport, Rory Whitfield, Scott Griffin, Alice Kalmancsi, Amandine Frezouls, Valentin Frezouls, Niklas Reisser, Carmen Lammerding"
87 (_),12:02,103,M Mst D 4X-,final,A,"Paul Middleditch, Simon Taylor, Josh Kempthorne, Paul Johnston, Mark Edgecombe, Stephen Porteners, Richard Rennie, Dave Derecourt, Richard Moir, Scott Inglis, Chas Todhunter, Andreas Giannakogiorgos, Kevin Sanderson, Richie McFelin, Martin Sharrock, Steve Westlake"
88 (_),12:08,104,M Mst I 1X,final,A,"Neville Robertson"
88 (_),12:08,108,M Mst H 1X,final,A,"Chris Fotherby, John Hitchcock, Graham Watt, Richard Brock, Vince Stewart"
89 (_),12:14,106,Mx MNw 4X+,final,A,"Amanda Taylor, Kimberley Jenkinson, Bradley Taylor, Glen Strachan, Carolyn Harrison, Mandy Good, Simon Harper, Rachel Lockwood, Evans Chogumaira, Belle Woods, Faith McGregor, Wade Vivian, Matt Bailey, Elly Arnst, Sue O'Leary, Anna Taylor, Sarah Sinclair, Riaan van Greuning, Nathan Reeve, Judy Shadbolt, Hugh Ritchie, Quentin de Groot, Hayley Tamati, Lisa Somerset, Maryam Naminimianji, Stuart Fraser, Katy Amundsen Newton, Brian Wilson, Anna Loftus, Rachael Corcoran, Emma Lowe, Lou Trent, Thomas Taylor, Wayne Bickers, Naiya Wolpert"
