"COMPETITOR NAMES, as at 6:21AM on Thursday 24th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
63 (E),08:20,74,M MNw 2X,final,A,"Riaan van Greuning, Bradley Taylor, Pita Shelford, Garritt van Dyk, Glen Strachan, Nathan Reeve, Hugh Ritchie, Wayne Bickers, Simon Harper, Evans Chogumaira, Wade Vivian, Matt Bailey"
64 (F),08:25,77,W Mst B 2X,final,A,"Constanze Duell, Jill Edwards, Tanya McDermott, Karen Verwey, Kylee Corboy, Amy Robson, Sarah Brennan, Nicola Goss"
64 (F),08:25,79,W G-M 2-,final,A,"Trish Fenton, Sue Wright, Judy Shadbolt, Alison McLeod"
65 (G),08:30,78,W Mst C 4X-,final,A,"Eleanor Chichester, Ange Rogers, Jacinda Allwood, Elizabeth Cossar, Vanessa Mace, Karen Lawry, Maryam Naminimianji, Claudia Hellberg, Rachel Lockwood, Tracey McMillan, Stacey Bax, Belle Woods, Sophia Bidwell, Kelly Lavalley, Carmen Lammerding, Catherine Kappelle, Lisa Hale, Amanda Johnstone, Rebecca Jones, Lena Cassidy-Clark, Sarah Middleditch, Ella Keys, Kathryn Sigley, Nicki McGuigan, Caroline Robertson, Leona Walpert, Natasha Baldwin, Jane Dee, Alex Hunter, Emily Henderson, Lauren Elizabeth, Helen Moore, Susan Sawbridge, Gabrielle Gatt, Helen Twose, Jo Mackay"
66 (H),08:35,76,W Mst A 4X-,final,A,"Emilee Butler, Lucy Catherine Mitchell, Danni Blizzard, Anna Quartero"
66 (H),08:35,81,M A-C 8+,final,A,"Niklas Reisser, Valentin Frezouls, Steve Glen, Chas Todhunter, Simon Taylor, Simon Carey, Paul Middleditch, Paul Johnston, Amandine Frezouls"
67 (I),08:40,80,M G-M 4X-,final,A,"Tony Corkery, Mike Harrison, Chris Fotherby, John de Pont, Mark Swinburne, Kerry Dombroski, Robert Buddo, Kevin Horan, Richard Brock, Desmond Healy, Murray Stewart, Bruce Tate, Graham Watt, Tim Russell, Gordon Williams, Alan Cleaver"
68 (J),09:15,85,M Mst D 2X,heat,1,"Martin Sharrock, Steve Westlake, David Harris, David Speed, Paul Isitt, Scott Inglis, Riaan van Greuning, Nathan Reeve, Mark Edgecombe, Richard Rennie, Josh Kempthorne, Steve Glen"
69 (K),09:20,85,M Mst D 2X,heat,2,"Shaun Stuart-Jones, Sylvain Livernois, Stephen Porteners, Dave Derecourt, Kevin O'Hagan, Stewart Widger, Miles McBain, Gerry Steenkamer, Chas Todhunter, Andreas Giannakogiorgos"
70 (L),09:25,87,W MNv 4+,final,A,"Amanda Taylor, Hayley Tamati, Lisa Somerset, Kimberley Jenkinson, Anna Taylor"
70 (L),09:25,88,W Mst E 2X,final,A,"Raima Turner-Abrahams, Vanessa Mace, Tina Gunn, Marleen Cleyndert, Melissa Bray, Jane Higgins, Rose Lampen-Smith, Inge Morton"
71 (M),09:30,89,M Mst F 1X,final,A,"Colin Wright, Dave Hanley, Kevin Horan, Kelvin Maker, Mulle Arndt, Peter Fraser, Jon Sadler"
72 (N),09:35,86,W MNw 2X,heat,1,"Naomi Carter, Tracey McMillan, Maryam Naminimianji, Terri-Ann Fetting, Michelle Reaks, Danielle Davies, Rebecca Jones, Amanda Johnstone"
73 (O),09:40,86,W MNw 2X,heat,2,"Leona Walpert, Felicity Newport, Faith McGregor, Elly Arnst, Trish Rice, Amandine Frezouls, Paula Pope, Jacinda Allwood, Sophia Bidwell, Kelly Lavalley"
74 (P),09:45,90,W Mst D 2-,final,A,"Benita Douglas, Alice Beban-France"
75 (Q),09:50,91,W H-M 4X-,final,A,"Yvonne Kasper, Alison McLeod, Liz MacFarlan, Carolyn Harrison"
75 (Q),09:50,92,M H-M 2X,final,A,"Chris Fotherby, John de Pont, Bruce Wills, Nick Hanna, Neville Robertson, Graham Watt"
76 (R),09:55,93,W Mst F 2X,final,A,"Aly Miehlbradt, Nikki Douglas, Sharon Bray, Trudy Moulden, Vivienne Ivory, Liane McGee, Debbie Sunnex, Michelle de Jong, Louise O'Hagan, Helen Moore"
77 (S),10:00,85,M Mst D 2X,final,A,"Chas Todhunter, Andreas Giannakogiorgos, Kevin O'Hagan, Stewart Widger, Martin Sharrock, Steve Westlake, Stephen Porteners, Dave Derecourt, Paul Isitt, Scott Inglis, David Harris, David Speed"
78 (T),10:05,94,W Mst G 1X,final,A,"Sharon Ducker, Raima Turner-Abrahams"
79 (U),10:10,95,M Mst G 2X,final,A,"Menno van der Laan, John Hitchcock, Gerry Steenkamer, Alan Cleaver, Desmond Healy, Bruce Tate"
